Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$2.33,-0.02,-0.851%,187731926.00,Israel,,500107,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PMI,Picard Medical Inc. Common Stock,$0.1635,0.0076,4.875%,16790785.00,,2025,3101142,Health Care,Medical/Dental Instruments
POAS,Phaos Technology Holdings (Cayman) Limited Class A Ordinary Shares,$0.279,-0.001,-0.357%,8808588.00,,2025,554507,Industrials,Industrial Machinery/Components
PRK,Park National Corporation Common Stock,$182.99,0.98,0.538%,3311403326.00,United States,1994,67621,Finance,Major Banks
PTHS,Pelthos Therapeutics Inc. Common Stock,$28.26,0.71,2.577%,98221728.00,,2024,53001,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PW,Power REIT (MD) Common Stock,$9.62,-0.26,-2.632%,3532724.00,United States,1998,6134,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$10.0499,0.0199,0.198%,,United States,,505,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.14,0.02,1.786%,97794194.00,United States,2015,208781,Basic Materials,Metal Mining
QNC,Quantum eMotion Corp. Common Shares,$3.12,0.04,1.299%,684433370.00,,2026,937710,,
RCG,RENN Fund Inc Common Stock,$2.9904,0.1604,5.668%,0.00,United States,,5855,Finance,Investment Managers
REA,Rare Earths Americas Inc. Common Stock,$15.28,1.00,7.003%,304183269.00,,2026,152370,Basic Materials,Metal Mining
REED,Reed's Inc. Common Stock,$1.27,-0.05,-3.788%,15058499.00,,2025,13320,Consumer Staples,Beverages (Production/Distribution)
REI,Ring Energy Inc. Common Stock,$1.08,-0.02,-1.818%,226161914.00,United States,,4942537,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$32.96,-0.29,-0.872%,715098413.00,United States,1999,303316,Energy,Oil & Gas Production
RGNT,Regentis Biomaterials Ltd. Ordinary Shares,$3.53,-0.24,-6.366%,18283204.00,,2025,202153,Health Care,Biotechnology: Pharmaceutical Preparations
RLGT,Radiant Logistics Inc. Common Stock,$9.46,0.08,0.853%,443027560.00,United States,,155816,Industrials,Integrated Freight & Logistics
ROLR,High Roller Technologies Inc. Common Stock,$5.92,-0.15,-2.471%,64936403.00,,2024,141621,Consumer Discretionary,Services-Misc. Amusement & Recreation
RVP,Retractable Technologies Inc. Common Stock,$0.72,0.015,2.128%,21554754.00,United States,2001,63693,Health Care,Medical/Dental Instruments
RYDE,Ryde Group Ltd. Class A Ordinary Shares,$0.6413,0.0084,1.327%,106550909.00,,2024,10599,Consumer Discretionary,Business Services
SACH,Sachem Capital Corp. Common Shares,$0.9413,-0.0051,-0.539%,45140651.00,United States,2017,134948,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$20.20,-0.03,-0.148%,,United States,,2054,,
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$0.155,0.0109,7.564%,2385425.00,,2021,4629421,Consumer Staples,Beverages (Production/Distribution)
SBMT,Silver Bow Mining Corp. Common Shares,$6.76,0.16,2.424%,199612660.00,,2026,143826,Basic Materials,Precious Metals
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$24.68,0.085,0.346%,1168407668.00,United States,,544,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$24.50,0.10,0.41%,1159886056.00,United States,2022,2845,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$24.49,-0.01,-0.041%,1159412633.00,United States,2022,1106,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$24.67,0.0699,0.284%,1167934245.00,United States,2022,2114,Real Estate,Real Estate Investment Trusts
SDEV,Stablecoin Development Corporation Common Stock,$1.05,0.00,0.00%,52972269.00,United States,,48230,Health Care,Biotechnology: Pharmaceutical Preparations
SEB,Seaboard Corporation Common Stock,$4464.33,-126.90,-2.764%,4275908488.00,United States,1996,4615,Industrials,Farming/Seeds/Milling
SER,Serina Therapeutics Inc. Common Stock,$1.94,-0.03,-1.523%,29095160.00,,2018,40391,Health Care,Biotechnology: Pharmaceutical Preparations
SIF,SIFCO Industries Inc. Common Stock,$23.40,1.51,6.898%,146346595.00,United States,1969,166155,Industrials,Aerospace
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$30.13,0.00,0.00%,4630025578.00,Mexico,1998,381,Industrials,Steel/Iron Ore
SLI,Standard Lithium Ltd. Common Shares,$2.75,-0.04,-1.434%,670054459.00,Canada,2021,2229390,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$0.6637,-0.0677,-9.256%,35985072.00,United States,,173271,Industrials,Military/Government/Technical
SLSR,Solaris Resources Inc. Common Shares,$8.38,-0.02,-0.238%,1399756049.00,,2024,397293,,
SMJF,SMJ International Holdings Inc. Class A Ordinary Shares,$5.10,-0.10,-1.923%,127500000.00,,2025,115736,Consumer Discretionary,RETAIL: Building Materials
SOAR,Volato Group Inc. Class A Common Stock,$0.1622,-0.0172,-9.588%,5326158.00,,2022,10220481,Consumer Discretionary,Transportation Services
STRW,Strawberry Fields REIT Inc. Common Stock,$13.75,0.15,1.103%,184615888.00,United States,2023,57699,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$1.72,-0.01,-0.578%,168107124.00,United States,,369358,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$10.10,-0.82,-7.509%,2234145604.00,Canada,,4015774,Basic Materials,Precious Metals
SYNX,Silynxcom Ltd. Ordinary Shares,$1.03,0.00,0.00%,6833473.00,,2024,28777,Consumer Staples,Consumer Electronics/Appliances
TGB,Trekor Metals Limited Common Shares,$6.88,0.52,8.176%,2515556072.00,Canada,,6489271,Basic Materials,Precious Metals
TGEN,Tecogen Inc. Common Stock,$5.22,-0.01,-0.191%,156171709.00,United States,2025,137708,Industrials,Industrial Machinery/Components
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.99,-0.03,-1.485%,520658571.00,Canada,,2340249,Basic Materials,Metal Mining
TII,Titan Mining Corporation Common Shares,$2.19,0.08,3.791%,215250948.00,,2025,1815711,,
TMDE,TMD Energy Limited Ordinary Shares,$0.7688,-0.0399,-4.934%,18116772.00,,2025,182143,Energy,Oil Refining/Marketing
TMP,Tompkins Financial Corporation Common Stock,$94.52,0.89,0.951%,1359475583.00,United States,1997,76897,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$3.51,-0.03,-0.847%,605635193.00,Canada,,1057298,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$0.71,-0.0274,-3.716%,41991199.00,United States,,567159,Consumer Discretionary,Movies/Entertainment
TOPP,Toppoint Holdings Inc. Common Stock,$1.06,0.01,0.952%,26182000.00,,2025,41939,Industrials,Trucking Freight/Courier Services
TOPS,TOP Ships Inc. Common Stock,$0.77,-0.005,-0.645%,4267086.00,Greece,,151384,Consumer Discretionary,Marine Transportation
TOVX,Theriva Biologics Inc. Common Stock,$0.2502,-0.0098,-3.769%,11482346.00,United States,,513424,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$0.3099,0.0089,2.957%,13718552.00,,2023,1126976,Energy,Oil & Gas Production
TRT,Trio-Tech International Common Stock,$12.32,0.59,5.03%,124587220.00,United States,1998,362553,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.825,-0.0164,-1.949%,268893625.00,Canada,,843077,Basic Materials,Precious Metals
UAC,United Acquisition Corp. I Class A Ordinary Shares,$9.935,0.0163,0.164%,0.00,,2026,26414,Finance,Blank Checks
UAVS,AgEagle Aerial Systems Inc. Common Stock,$0.8913,0.0293,3.399%,52227613.00,United States,,939391,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$10.66,-0.17,-1.57%,5275339422.00,Canada,,6259192,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$22.30,3.07,15.965%,1065804483.00,United States,2024,9915736,Technology,Radio And Television Broadcasting And Communications Equipment
URG,Ur Energy Inc Common Shares (Canada),$1.36,0.04,3.03%,540371320.00,Canada,,7174118,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$4.72,0.03,0.64%,1543126398.00,Canada,2017,2701086,Basic Materials,Metal Mining
USBC,USBC Inc. Common Stock,$0.313,-0.014,-4.281%,121489206.00,,,169564,Industrials,Industrial Machinery/Components
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$40.72,-0.16,-0.391%,0.00,United States,2004,346809,Finance,Investment Managers
UUU,Universal Safety Products Inc. Common Stock,$4.59,0.018,0.394%,13900182.00,United States,2003,21074,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$14.50,-0.09,-0.617%,3623071500.00,Canada,,4874729,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VENU,Venu Holding Corporation Common Stock,$2.27,-0.17,-6.967%,130483107.00,United States,2024,1336344,Consumer Discretionary,Services-Misc. Amusement & Recreation
VFL,abrdn National Municipal Income Fund Common Stock,$10.37,-0.01,-0.096%,0.00,United States,1993,57696,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$1.91,0.03,1.596%,278805271.00,United States,1986,1325592,Basic Materials,Precious Metals
VIDA,VIDA Global Inc. Class A Common Stock,$2.80,-0.16,-5.405%,40832210.00,,2026,111066,Technology,Computer Software: Prepackaged Software
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$9.48,-0.01,-0.105%,420969070.00,United States,1993,114262,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$1.35,-0.07,-4.93%,11646708.00,Singapore,2015,163437,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
